Analyte Abv.,Analyte Name,CASRN,Treatment Process,Test Scale,Matrix,Matrix Detail,Treatment Temperature (°C),Treatment Time,Condition Details,Effectiveness (%),Effectiveness Type,Measure Details,Initial Concentration,Initial Details,Post Concentration,Post Details,Offgas Concentration,Additional Details,Citation
PFOA,Perflouorooctanoate,335-67-1,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3d,,,,,,Data interpolated from Figure 3d,Xiao et al 2020
PFPeA,Perfluoropentanoic acid,2706-90-3,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3b,,,,,,Data interpolated from Figure 3b,Xiao et al 2020
PFHpA,Perfluoroheptanoic acid,375-85-9,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3c,,,,,,Data interpolated from Figure 3c,Xiao et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3a,,,,,,Data interpolated from Figure 3a,Xiao et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3h,,,,,,Data interpolated from Figure 3h,Xiao et al 2020
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3f,,,,,,Data interpolated from Figure 3f,Xiao et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3g,,,,,,Data interpolated from Figure 3g,Xiao et al 2020
PFOA,Perflouorooctanoate,335-67-1,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3d,,,,,,Data interpolated from Figure 3d,Xiao et al 2020
GenX,GenX,62037-80-3 or 13252-13-6 as acid,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99.9%,Percent Decomposition Efficiency,Data interpolated from Figure 3e,,,,,,Data interpolated from Figure 3e,Xiao et al 2020
PFHpA,Perfluoroheptanoic acid,375-85-9,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3c,,,,,,Data interpolated from Figure 3c,Xiao et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3a,,,,,,Data interpolated from Figure 3a,Xiao et al 2020
PFPeA,Perfluoropentanoic acid,2706-90-3,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3b,,,,,,Data interpolated from Figure 3b,Xiao et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,GAC Reactivation,Lab,Treatment Media,GAC,300,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜0%,Percent Decomposition Efficiency,Data interpolated from Figure 3g,,,,,,Data interpolated from Figure 3g,Xiao et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC,300,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜0%,Percent Decomposition Efficiency,Data interpolated from Figure 3h,,,,,,Data interpolated from Figure 3h,Xiao et al 2020
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,GAC Reactivation,Lab,Treatment Media,GAC,300,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜0%,Percent Decomposition Efficiency,Data interpolated from Figure 3f,,,,,,Data interpolated from Figure 3f,Xiao et al 2020
PFOA,Perflouorooctanoate,335-67-1,GAC Reactivation,Lab,Treatment Media,GAC,300,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3d,,,,,,Data interpolated from Figure 3d,Xiao et al 2020
GenX,GenX,62037-80-3 or 13252-13-6 as acid,GAC Reactivation,Lab,Treatment Media,GAC,300,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99.9%,Percent Decomposition Efficiency,Data interpolated from Figure 3e,,,,,,Data interpolated from Figure 3e,Xiao et al 2020
PFPeA,Perfluoropentanoic acid,2706-90-3,GAC Reactivation,Lab,Treatment Media,GAC,300,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3b,,,,,,Data interpolated from Figure 3b,Xiao et al 2020
PFHpA,Perfluoroheptanoic acid,375-85-9,GAC Reactivation,Lab,Treatment Media,GAC,300,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3c,,,,,,Data interpolated from Figure 3c,Xiao et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,GAC Reactivation,Lab,Treatment Media,GAC,300,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3a,,,,,,Data interpolated from Figure 3a,Xiao et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC,200,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜0%,Percent Decomposition Efficiency,Data interpolated form Figure 3h,,,,,,Data interpolated form Figure 3h,Xiao et al 2020
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,GAC Reactivation,Lab,Treatment Media,GAC,200,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜0%,Percent Decomposition Efficiency,Data interpolated form Figure 3f,,,,,,Data interpolated form Figure 3f,Xiao et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,GAC Reactivation,Lab,Treatment Media,GAC,200,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜0%,Percent Decomposition Efficiency,Data interpolated form Figure 3g,,,,,,Data interpolated form Figure 3g,Xiao et al 2020
GenX,GenX,62037-80-3 or 13252-13-6 as acid,GAC Reactivation,Lab,Treatment Media,GAC,200,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99.6%,Percent Decomposition Efficiency,Data interpolated form Figure 3e,,,,,,Data interpolated form Figure 3e,Xiao et al 2020
PFHpA,Perfluoroheptanoic acid,375-85-9,GAC Reactivation,Lab,Treatment Media,GAC,200,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜96%,Percent Decomposition Efficiency,Data interpolated form Figure 3c,,,,,,Data interpolated form Figure 3c,Xiao et al 2020
PFOA,Perflouorooctanoate,335-67-1,GAC Reactivation,Lab,Treatment Media,GAC,200,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜90%,Percent Decomposition Efficiency,Data interpolated form Figure 3d,,,,,,Data interpolated form Figure 3d,Xiao et al 2020
PFPeA,Perfluoropentanoic acid,2706-90-3,GAC Reactivation,Lab,Treatment Media,GAC,200,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜87%,Percent Decomposition Efficiency,Data interpolated form Figure 3b,,,,,,Data interpolated form Figure 3b,Xiao et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,GAC Reactivation,Lab,Treatment Media,GAC,200,30 minute,Thermal treatment under flow of carbon dioxide (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜95%,Percent Decomposition Efficiency,Data interpolated form Figure 3a,,,,,,Data interpolated form Figure 3a,Xiao et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3h,,,,,,Data interpolated from Figure 3h,Xiao et al 2020
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3f,,,,,,Data interpolated from Figure 3f,Xiao et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3g,,,,,,Data interpolated from Figure 3g,Xiao et al 2020
PFOA,Perflouorooctanoate,335-67-1,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3d,,,,,,Data interpolated from Figure 3d,Xiao et al 2020
GenX,GenX,62037-80-3 or 13252-13-6 as acid,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3e,,,,,,Data interpolated from Figure 3e,Xiao et al 2020
PFHpA,Perfluoroheptanoic acid,375-85-9,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3c,,,,,,Data interpolated from Figure 3c,Xiao et al 2020
PFPeA,Perfluoropentanoic acid,2706-90-3,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3b,,,,,,Data interpolated from Figure 3b,Xiao et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,GAC Reactivation,Lab,Treatment Media,GAC,500,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3a,,,,,,Data interpolated from Figure 3a,Xiao et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜98%,Percent Decomposition Efficiency,Data interpolated from Figure 3h,,,,,,Data interpolated from Figure 3h,Xiao et al 2020
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜97%,Percent Decomposition Efficiency,Data interpolated from Figure 3f,,,,,,Data interpolated from Figure 3f,Xiao et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜98%,Percent Decomposition Efficiency,Data interpolated from Figure 3g,,,,,,Data interpolated from Figure 3g,Xiao et al 2020
PFOA,Perflouorooctanoate,335-67-1,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3d,,,,,,Data interpolated from Figure 3d,Xiao et al 2020
GenX,GenX,62037-80-3 or 13252-13-6 as acid,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3e,,,,,,Data interpolated from Figure 3e,Xiao et al 2020
PFHpA,Perfluoroheptanoic acid,375-85-9,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3c,,,,,,Data interpolated from Figure 3c,Xiao et al 2020
PFPeA,Perfluoropentanoic acid,2706-90-3,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3b,,,,,,Data interpolated from Figure 3b,Xiao et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,GAC Reactivation,Lab,Treatment Media,GAC,475,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99%,Percent Decomposition Efficiency,Data interpolated from Figure 3a,,,,,,Data interpolated from Figure 3a,Xiao et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,GAC Reactivation,Lab,Treatment Media,GAC,250,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜0%,Percent Decomposition Efficiency,Data interpolated from Figure 3g,,,,,,Data interpolated from Figure 3g,Xiao et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,GAC Reactivation,Lab,Treatment Media,GAC,250,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜0%,Percent Decomposition Efficiency,Data interpolated from Figure 3h,,,,,,Data interpolated from Figure 3h,Xiao et al 2020
GenX,GenX,62037-80-3 or 13252-13-6 as acid,GAC Reactivation,Lab,Treatment Media,GAC,250,30 minute,Thermal treatment under flow of nitrogen (200 mL/min); Treatment temperature interpolated from Figure 3a through 3h,˜99.8%,Percent Decomposition Efficiency,Data interpolated from Figure 3e,,,,,,Data interpolated from Figure 3e,Xiao et al 2020
